province,year,area,food_spend,nonfood_spend,total_spend,engel_ratio,internet_pct,mobile_pct,computer_pct,digital_index_pct,calorie_per_capita,protein_per_capita,poverty_rate,gini,vulnerability_score,_inferred_from_2023
KEP RIAU,2024,urban,,,,,96.99,97.98,34.29,76.42,,,,,,1
KEP RIAU,2024,rural,,,,,87.65,95.3,10.01,64.32,,,,,,
KEP RIAU,2024,total,,,,,97.57,99.15,30.36,75.69333333333333,,,,,0.04316894932971971,
KEP RIAU,2024,urban,,,,,98.68,99.58,32.63,76.96333333333332,,,,,,
KEPULAUAN BANGKA BELITUNG,2024,total,879797.0,847753.0,1727550.0,0.5092744059506237,,,,,2058.61,66.38,,,0.22479907919789935,1
KEPULAUAN BANGKA BELITUNG,2024,total,929142.0,863932.0,1793074.0,0.5181838563271789,,,,,1992.17,65.69,,,0.24008210878347302,
KEPULAUAN RIAU,2024,total,863530.0,1126172.0,1989703.0,0.4339994461484955,,,,,2047.79,66.5,,,0.09567445432360952,1
KEPULAUAN RIAU,2024,total,938634.0,1170437.0,2109071.0,0.4450461838411319,,,,,2050.02,67.05,,,0.11462372861609514,
LAMPUNG,2024,rural,,,,,87.76,91.41,6.0,61.723333333333336,,,,,,1
LAMPUNG,2024,total,627879.0,575138.0,1203017.0,0.5219203053655933,88.88,92.41,10.63,63.97333333333333,2096.21,60.13,,,0.23543706513951093,1
LAMPUNG,2024,urban,,,,,91.13,95.32,19.96,68.80333333333333,,,,,,1
LAMPUNG,2024,rural,,,,,90.45,94.85,6.55,63.95000000000001,,,,,,
LAMPUNG,2024,total,656937.0,544537.0,1201473.0,0.5467763320524057,91.57,95.44,10.89,65.96666666666665,2005.8,57.99,,,0.28753185292433203,
LAMPUNG,2024,urban,,,,,93.84,96.66,19.74,70.08,,,,,,
MALUKU,2024,rural,,,,,75.2,85.61,8.35,56.38666666666666,,,,,,1
MALUKU,2024,total,595310.0,642860.0,1238170.0,0.4807982748734019,82.56,89.17,17.58,63.10333333333333,1819.57,52.86,,,0.3109701589403762,1
MALUKU,2024,urban,,,,,92.8,96.25,30.42,73.15666666666668,,,,,,1
MALUKU,2024,rural,,,,,80.4,91.15,9.06,60.20333333333334,,,,,,
MALUKU,2024,total,640897.0,636672.0,1277569.0,0.5016535310421589,87.27,94.44,17.73,66.47999999999999,1791.94,52.2,,,0.32941807481961777,
MALUKU,2024,urban,,,,,95.72,98.47,28.36,74.18333333333334,,,,,,
MALUKU UTARA,2024,rural,,,,,77.67,88.43,9.67,58.59,,,,,,1
MALUKU UTARA,2024,total,660687.0,656472.0,1317159.0,0.5016000346199662,81.88,90.59,15.92,62.79666666666666,1822.8,52.7,,,0.33889488985085175,1
MALUKU UTARA,2024,urban,,,,,91.69,97.58,30.48,73.24999999999999,,,,,,1
MALUKU UTARA,2024,rural,,,,,83.39,93.09,9.23,61.903333333333336,,,,,,
MALUKU UTARA,2024,total,726547.0,720763.0,1447310.0,0.5019981897451133,87.28,94.7,17.02,66.33333333333334,1800.54,52.05,,,0.3330083488453073,
MALUKU UTARA,2024,urban,,,,,96.21,98.39,34.88,76.49333333333333,,,,,,
NUSA TENGGARA BARAT,2024,rural,,,,,79.31,87.62,7.07,58.0,,,,,,1
NUSA TENGGARA BARAT,2024,total,711180.0,549640.0,1260820.0,0.5640614837962595,81.79,89.37,11.09,60.75000000000001,2484.92,76.12,,,0.2992284968414904,1
NUSA TENGGARA BARAT,2024,urban,,,,,84.08,91.62,14.79,63.49666666666666,,,,,,1
NUSA TENGGARA BARAT,2024,rural,,,,,83.74,90.15,7.9,60.596666666666664,,,,,,
NUSA TENGGARA BARAT,2024,total,730071.0,547068.0,1277139.0,0.5716456861782468,86.54,92.02,11.73,63.43,2419.21,74.45,,,0.29493161051024663,
NUSA TENGGARA BARAT,2024,urban,,,,,89.12,93.73,15.26,66.03666666666668,,,,,,
NUSA TENGGARA TIMUR,2024,rural,,,,,73.18,81.95,7.73,54.28666666666666,,,,,,1
NUSA TENGGARA TIMUR,2024,total,516672.0,444700.0,961372.0,0.5374319202140274,78.88,84.48,13.65,59.00333333333334,1938.18,54.54,,,0.3677307596654686,1
NUSA TENGGARA TIMUR,2024,urban,,,,,93.53,96.9,28.84,73.09,,,,,,1
NUSA TENGGARA TIMUR,2024,rural,,,,,77.81,88.85,8.08,58.24666666666667,,,,,,
NUSA TENGGARA TIMUR,2024,total,541265.0,434589.0,975854.0,0.5546577664281747,82.45,91.36,13.7,62.50333333333333,1930.43,55.06,,,0.36187217617698514,
NUSA TENGGARA TIMUR,2024,urban,,,,,94.88,98.08,28.77,73.91,,,,,,
PAPUA,2024,rural,,,,,18.73,44.18,2.33,21.746666666666666,,,,,,1
PAPUA,2024,total,866059.0,643934.0,1509992.0,0.5735520453088493,38.71,53.46,9.79,33.98666666666667,1902.72,46.8,,,0.658401329903268,1
PAPUA,2024,urban,,,,,87.31,92.11,27.93,69.11666666666667,,,,,,1
PAPUA,2024,rural,,,,,63.9,80.09,7.84,50.61000000000001,,,,,,
PAPUA,2024,total,765393.0,813501.0,1578894.0,0.48476528506663524,81.99,90.32,24.59,65.63333333333334,1782.9,54.73,,,0.27226646462362597,
PAPUA,2024,urban,,,,,93.93,97.06,35.64,75.54333333333334,,,,,,
PAPUA BARAT,2024,rural,,,,,73.71,81.4,10.52,55.21000000000001,,,,,,1
PAPUA BARAT,2024,total,773831.0,824423.0,1598254.0,0.4841727284899647,82.05,84.9,18.7,61.883333333333326,1859.62,54.62,,,0.29156051395384536,1
PAPUA BARAT,2024,urban,,,,,94.01,97.87,30.41,74.09666666666666,,,,,,1
PAPUA BARAT,2024,rural,,,,,80.47,89.8,11.53,60.599999999999994,,,,,,
PAPUA BARAT,2024,total,836642.0,806846.0,1643488.0,0.5090648669171908,85.51,92.52,18.35,65.46,1769.8,51.78,,,0.34979161481662757,
PAPUA BARAT,2024,urban,,,,,97.26,98.87,34.26,76.79666666666667,,,,,,
PAPUA BARAT DAYA,2024,rural,,,,,,,10.52,10.52,,,,,,1
PAPUA BARAT DAYA,2024,total,,,,,,,18.7,18.7,,,,,0.8706383390601559,1
PAPUA BARAT DAYA,2024,urban,,,,,,,30.41,30.41,,,,,,1
PAPUA BARAT DAYA,2024,rural,,,,,79.71,88.92,10.68,59.77,,,,,,
PAPUA BARAT DAYA,2024,total,810863.0,831867.0,1642730.0,0.4936069834969837,88.49,93.64,19.63,67.25333333333333,1890.36,57.83,,,0.22315351608244408,
PAPUA BARAT DAYA,2024,urban,,,,,96.31,97.85,27.6,73.92,,,,,,
PAPUA PEGUNUNGAN,2024,rural,,,,,,,,,,,,,,1
PAPUA PEGUNUNGAN,2024,total,,,,,,,,,,,,,,1
PAPUA PEGUNUNGAN,2024,urban,,,,,,,,,,,,,,1
PAPUA PEGUNUNGAN,2024,rural,,,,,8.81,28.65,1.13,12.863333333333335,,,,,,
PAPUA PEGUNUNGAN,2024,total,1157571.0,570904.0,1728475.0,0.669706533215696,12.15,31.66,2.31,15.373333333333335,2190.07,39.89,,,0.9729790769330041,
PAPUA PEGUNUNGAN,2024,urban,,,,,54.5,69.7,17.27,47.156666666666666,,,,,,
PAPUA SELATAN,2024,rural,,,,,,,2.33,2.33,,,,,,1
PAPUA SELATAN,2024,total,,,,,,,9.79,9.79,,,,,1.0,1
PAPUA SELATAN,2024,urban,,,,,,,27.93,27.93,,,,,,1
PAPUA SELATAN,2024,rural,,,,,51.7,62.57,6.34,40.20333333333334,,,,,,
PAPUA SELATAN,2024,total,749474.0,677616.0,1427090.0,0.5251764079350286,65.71,73.69,17.0,52.133333333333326,1790.62,51.57,,,0.4361926508494232,
PAPUA SELATAN,2024,urban,,,,,90.76,93.58,36.04,73.46,,,,,,
PAPUA TENGAH,2024,rural,,,,,,,,,,,,,,1
PAPUA TENGAH,2024,total,,,,,,,,,,,,,,1
PAPUA TENGAH,2024,urban,,,,,,,,,,,,,,1
