province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank
Maluku Utara,urban,70864.0,17723.0,,130871.0,75798.0,30417.0,194802.0,67.18154844406115,55073.0,1.72657589910024,-0.4885039466344721,1
Nusa Tenggara Barat,rural,41307.0,28935.0,,87852.0,54227.0,23586.0,148055.0,59.33740839552869,33625.0,1.6200785586515942,-0.6852775121795748,24
Nusa Tenggara Barat,total,49529.0,34807.0,,80526.0,55356.0,28174.0,167866.0,47.97040496586563,25170.0,1.4546932581833947,-1.0846186324913691,32
Nusa Tenggara Barat,urban,57072.0,40194.0,,73806.0,56392.0,32382.0,186040.0,39.67211352397334,17414.0,1.3088026670449708,-1.5206622767796656,33
Nusa Tenggara Timur,rural,15558.0,34436.0,,55736.0,48185.0,16076.0,114255.0,48.78211019211413,7551.0,1.1567085192487288,-1.0499318214439501,37
Nusa Tenggara Timur,total,18177.0,36052.0,,56454.0,51525.0,20611.0,126365.0,44.675345230087444,4929.0,1.0956622998544396,-1.2383710631664717,38
Nusa Tenggara Timur,urban,25432.0,40527.0,,58442.0,60777.0,33173.0,159909.0,36.54703612679712,-2335.0,0.9615808611810389,-1.7361999931556074,37
Papua,rural,30565.0,35825.0,,107626.0,71948.0,22828.0,161166.0,66.7795937108323,35678.0,1.4958859176071608,-0.4974634382026648,15
Papua,total,34146.0,40886.0,,95626.0,76542.0,39583.0,191157.0,50.02484868458911,19084.0,1.2493271667842492,-0.9990065463367703,19
Papua,urban,36531.0,44257.0,,87633.0,79601.0,50744.0,211133.0,41.50606489748168,8032.0,1.100903254984234,-1.409286456015428,20
Papua Barat,rural,41579.0,48053.0,,129919.0,83520.0,37438.0,210590.0,61.692862908970035,46399.0,1.5555435823754789,-0.6209330428959583,5
Papua Barat,total,46206.0,46766.0,,127427.0,84494.0,41194.0,218660.0,58.2763193999817,42933.0,1.508118919686605,-0.7159628650129094,2
Papua Barat,urban,56580.0,43878.0,,121840.0,86680.0,49616.0,236754.0,51.462699679836454,35160.0,1.405629903091832,-0.9431549573210768,4
Papua Barat Daya,rural,40584.0,43203.0,97262.0,119855.0,77568.0,31804.0,290421.0,41.269398562776104,42287.0,1.5451603754125414,-1.4231029160235285,10
Papua Barat Daya,total,37616.0,37015.0,9747.0,101874.0,81843.0,41498.0,207719.0,49.04414136405432,20031.0,1.2447490927751916,-1.0389795237253863,11
Papua Barat Daya,urban,34657.0,30845.0,97677.0,83946.0,86104.0,51164.0,300447.0,27.940368850412884,-2158.0,0.9749372851435474,-2.5790508183832466,26
Papua Pegunungan,rural,41523.0,10143.0,38309.0,70367.0,179464.0,33923.0,303362.0,23.195719964926393,-109097.0,0.39209535059956313,-3.311140165134225,33
Papua Pegunungan,total,41958.0,101937.0,4792.0,74607.0,177535.0,3466.0,329688.0,22.62957705466987,-102928.0,0.4202382628777424,-3.418995536611846,35
Papua Pegunungan,urban,47694.0,108635.0,174873.0,13061.0,152055.0,44388.0,527645.0,2.47533853253608,-138994.0,0.08589655059024695,-39.39851466197075,38
Papua Selatan,rural,37587.0,46452.0,83398.0,99195.0,65768.0,22556.0,255761.0,38.784255613639296,33427.0,1.5082562948546405,-1.578365845052674,21
Papua Selatan,total,42236.0,56657.0,92522.0,101758.0,70685.0,36708.0,298808.0,34.054643784637626,31073.0,1.4395982174435877,-1.9364570844552762,12
Papua Selatan,urban,5036.0,74488.0,108466.0,106237.0,79277.0,61437.0,328704.0,32.31995959890966,26960.0,1.3400734134742738,-2.0940632736240667,8
Papua Tengah,rural,32631.0,120679.0,56559.0,66232.0,169796.0,35423.0,415088.0,15.956134602783024,-103564.0,0.39006808169803764,-5.267182026814833,34
Papua Tengah,total,34781.0,10497.0,68154.0,81098.0,15348.0,38572.0,167352.0,48.45953439456953,65750.0,5.283945790982538,-1.0635774001824954,31
Papua Tengah,urban,41441.0,56318.0,104065.0,127143.0,102947.0,43825.0,348596.0,36.47287978060562,24196.0,1.2350335609585514,-1.7417632115020096,2
Riau,rural,33415.0,32708.0,,132310.0,92421.0,34832.0,193376.0,68.4211070660268,39889.0,1.4316010430529857,-0.4615372987680447,3
Riau,total,36438.0,35590.0,,122449.0,88929.0,40448.0,201405.0,60.797398277103355,33520.0,1.376929910377942,-0.6448072258654624,3
