province,year,area,poverty_rate,_inferred_from_2023
SULAWESI UTARA,2021,rural,10.07,
SULAWESI UTARA,2021,total,7.36,
SULAWESI TENGAH,2021,urban,8.82,
SULAWESI TENGAH,2021,rural,13.71,
SULAWESI TENGAH,2021,total,12.18,
SULAWESI SELATAN,2021,urban,4.89,
SULAWESI SELATAN,2021,rural,11.55,
SULAWESI SELATAN,2021,total,8.53,
SULAWESI TENGGARA,2021,urban,7.14,
SULAWESI TENGGARA,2021,rural,14.34,
SULAWESI TENGGARA,2021,total,11.74,
GORONTALO,2021,urban,4.06,
GORONTALO,2021,rural,24.38,
GORONTALO,2021,total,15.41,
SULAWESI BARAT,2021,urban,9.72,
SULAWESI BARAT,2021,rural,12.39,
SULAWESI BARAT,2021,total,11.85,
MALUKU,2021,urban,6.13,
MALUKU,2021,rural,24.34,
MALUKU,2021,total,16.3,
MALUKU UTARA,2021,urban,4.83,
MALUKU UTARA,2021,rural,7.0,
MALUKU UTARA,2021,total,6.38,
PAPUA BARAT,2021,urban,6.44,
PAPUA BARAT,2021,rural,33.5,
PAPUA BARAT,2021,total,21.82,
PAPUA BARAT DAYA,2021,urban,,
PAPUA BARAT DAYA,2021,rural,,
PAPUA BARAT DAYA,2021,total,,
PAPUA,2021,urban,4.94,
PAPUA,2021,rural,36.5,
PAPUA,2021,total,27.38,
PAPUA SELATAN,2021,urban,,
PAPUA SELATAN,2021,rural,,
PAPUA SELATAN,2021,total,,
PAPUA TENGAH,2021,urban,,
PAPUA TENGAH,2021,rural,,
PAPUA TENGAH,2021,total,,
PAPUA PEGUNUNGAN,2021,urban,,
PAPUA PEGUNUNGAN,2021,rural,,
PAPUA PEGUNUNGAN,2021,total,,
INDONESIA,2021,urban,7.6,
INDONESIA,2021,rural,12.53,
INDONESIA,2021,total,9.71,
ACEH,2022,urban,10.35,
ACEH,2022,rural,17.06,
ACEH,2022,total,14.75,
SUMATERA UTARA,2022,urban,8.63,
SUMATERA UTARA,2022,rural,7.96,
SUMATERA UTARA,2022,total,8.33,
SUMATERA BARAT,2022,urban,4.9,
SUMATERA BARAT,2022,rural,7.2,
SUMATERA BARAT,2022,total,6.04,
RIAU,2022,urban,6.49,
RIAU,2022,rural,7.07,
RIAU,2022,total,6.84,
JAMBI,2022,urban,10.48,
JAMBI,2022,rural,6.32,
JAMBI,2022,total,7.7,
SUMATERA SELATAN,2022,urban,11.37,
SUMATERA SELATAN,2022,rural,12.3,
SUMATERA SELATAN,2022,total,11.95,
BENGKULU,2022,urban,14.53,
BENGKULU,2022,rural,14.24,
BENGKULU,2022,total,14.34,
LAMPUNG,2022,urban,8.34,
LAMPUNG,2022,rural,12.96,
LAMPUNG,2022,total,11.44,
KEP. BANGKA BELITUNG,2022,urban,3.48,
KEP. BANGKA BELITUNG,2022,rural,6.13,
KEP. BANGKA BELITUNG,2022,total,4.61,
KEP. RIAU,2022,urban,5.46,
KEP. RIAU,2022,rural,10.63,
KEP. RIAU,2022,total,6.03,
DKI JAKARTA,2022,urban,4.61,
DKI JAKARTA,2022,rural,,
DKI JAKARTA,2022,total,4.61,
JAWA BARAT,2022,urban,7.52,
JAWA BARAT,2022,rural,9.75,
JAWA BARAT,2022,total,7.98,
JAWA TENGAH,2022,urban,10.02,
JAWA TENGAH,2022,rural,12.05,
JAWA TENGAH,2022,total,10.98,
DI YOGYAKARTA,2022,urban,10.64,
DI YOGYAKARTA,2022,rural,14.0,
DI YOGYAKARTA,2022,total,11.49,
JAWA TIMUR,2022,urban,7.78,
JAWA TIMUR,2022,rural,13.9,
JAWA TIMUR,2022,total,10.49,
BANTEN,2022,urban,5.89,
BANTEN,2022,rural,7.29,
BANTEN,2022,total,6.24,
BALI,2022,urban,4.12,
BALI,2022,rural,5.58,
BALI,2022,total,4.53,
NUSA TENGGARA BARAT,2022,urban,13.98,
NUSA TENGGARA BARAT,2022,rural,13.66,
NUSA TENGGARA BARAT,2022,total,13.82,
NUSA TENGGARA TIMUR,2022,urban,9.0,
NUSA TENGGARA TIMUR,2022,rural,24.11,
NUSA TENGGARA TIMUR,2022,total,20.23,
KALIMANTAN BARAT,2022,urban,4.63,
KALIMANTAN BARAT,2022,rural,8.1,
KALIMANTAN BARAT,2022,total,6.81,
KALIMANTAN TENGAH,2022,urban,5.09,
KALIMANTAN TENGAH,2022,rural,5.32,
KALIMANTAN TENGAH,2022,total,5.22,
KALIMANTAN SELATAN,2022,urban,4.03,
KALIMANTAN SELATAN,2022,rural,5.17,
KALIMANTAN SELATAN,2022,total,4.61,
KALIMANTAN TIMUR,2022,urban,4.97,
KALIMANTAN TIMUR,2022,rural,9.71,
KALIMANTAN TIMUR,2022,total,6.44,
KALIMANTAN UTARA,2022,urban,5.58,
KALIMANTAN UTARA,2022,rural,9.15,
KALIMANTAN UTARA,2022,total,6.86,
SULAWESI UTARA,2022,urban,5.04,
SULAWESI UTARA,2022,rural,10.16,
SULAWESI UTARA,2022,total,7.34,
SULAWESI TENGAH,2022,urban,9.13,
SULAWESI TENGAH,2022,rural,13.79,
SULAWESI TENGAH,2022,total,12.3,
SULAWESI SELATAN,2022,urban,4.98,
SULAWESI SELATAN,2022,rural,11.81,
SULAWESI SELATAN,2022,total,8.66,
SULAWESI TENGGARA,2022,urban,7.22,
SULAWESI TENGGARA,2022,rural,13.6,
SULAWESI TENGGARA,2022,total,11.27,
GORONTALO,2022,urban,4.49,
GORONTALO,2022,rural,24.52,
GORONTALO,2022,total,15.51,
SULAWESI BARAT,2022,urban,9.33,
SULAWESI BARAT,2022,rural,12.58,
SULAWESI BARAT,2022,total,11.92,
MALUKU,2022,urban,5.9,
MALUKU,2022,rural,24.54,
MALUKU,2022,total,16.23,
MALUKU UTARA,2022,urban,6.17,
MALUKU UTARA,2022,rural,6.45,
MALUKU UTARA,2022,total,6.37,
PAPUA BARAT,2022,urban,7.64,
PAPUA BARAT,2022,rural,32.12,
PAPUA BARAT,2022,total,21.43,
PAPUA BARAT DAYA,2022,urban,,
PAPUA BARAT DAYA,2022,rural,,
PAPUA BARAT DAYA,2022,total,,
PAPUA,2022,urban,5.29,
PAPUA,2022,rural,35.68,
PAPUA,2022,total,26.8,
PAPUA SELATAN,2022,urban,,
PAPUA SELATAN,2022,rural,,
PAPUA SELATAN,2022,total,,
PAPUA TENGAH,2022,urban,,
PAPUA TENGAH,2022,rural,,
PAPUA TENGAH,2022,total,,
PAPUA PEGUNUNGAN,2022,urban,,
PAPUA PEGUNUNGAN,2022,rural,,
PAPUA PEGUNUNGAN,2022,total,,
INDONESIA,2022,urban,7.53,
INDONESIA,2022,rural,12.36,
INDONESIA,2022,total,9.57,
ACEH,2024,urban,9.79,1
ACEH,2024,rural,16.92,1
ACEH,2024,total,14.45,1
SUMATERA UTARA,2024,urban,8.23,1
SUMATERA UTARA,2024,rural,8.03,1
SUMATERA UTARA,2024,total,8.15,1
SUMATERA BARAT,2024,urban,4.67,1
SUMATERA BARAT,2024,rural,7.23,1
SUMATERA BARAT,2024,total,5.95,1
RIAU,2024,urban,6.73,1
RIAU,2024,rural,6.65,1
RIAU,2024,total,6.68,1
JAMBI,2024,urban,10.19,1
JAMBI,2024,rural,6.28,1
JAMBI,2024,total,7.58,1
SUMATERA SELATAN,2024,urban,11.07,1
SUMATERA SELATAN,2024,rural,12.21,1
SUMATERA SELATAN,2024,total,11.78,1
BENGKULU,2024,urban,14.21,1
BENGKULU,2024,rural,13.96,1
BENGKULU,2024,total,14.04,1
LAMPUNG,2024,urban,8.02,1
LAMPUNG,2024,rural,12.65,1
LAMPUNG,2024,total,11.11,1
KEP. BANGKA BELITUNG,2024,urban,3.54,1
KEP. BANGKA BELITUNG,2024,rural,5.85,1
KEP. BANGKA BELITUNG,2024,total,4.52,1
KEP. RIAU,2024,urban,5.05,1
KEP. RIAU,2024,rural,10.69,1
KEP. RIAU,2024,total,5.69,1
DKI JAKARTA,2024,urban,4.44,1
DKI JAKARTA,2024,rural,,1
DKI JAKARTA,2024,total,4.44,1
JAWA BARAT,2024,urban,7.19,1
JAWA BARAT,2024,rural,9.3,1
JAWA BARAT,2024,total,7.62,1
JAWA TENGAH,2024,urban,9.78,1
JAWA TENGAH,2024,rural,11.87,1
JAWA TENGAH,2024,total,10.77,1
DI YOGYAKARTA,2024,urban,10.27,1
DI YOGYAKARTA,2024,rural,13.36,1
DI YOGYAKARTA,2024,total,11.04,1
JAWA TIMUR,2024,urban,7.5,1
JAWA TIMUR,2024,rural,13.98,1
JAWA TIMUR,2024,total,10.35,1
BANTEN,2024,urban,6.0,1
BANTEN,2024,rural,6.79,1
BANTEN,2024,total,6.17,1
BALI,2024,urban,3.77,1
BALI,2024,rural,5.5,1
BALI,2024,total,4.25,1
NUSA TENGGARA BARAT,2024,urban,13.76,1
NUSA TENGGARA BARAT,2024,rural,13.95,1
NUSA TENGGARA BARAT,2024,total,13.85,1
