province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank,calorie_per_capita,protein_per_capita,poverty_rate,gini,internet_pct,mobile_pct,computer_pct,digital_index_pct,population_thousands,smoking_10_18_daily_pct,smoking_10plus_daily_pct,smoking_indoor_pct,passive_smoke_daily_pct,mdd_6_23_pct,mmf_6_23_pct,mad_6_23_pct,animal_protein_6_23_pct,stunting_0_59_total_pct,underweight_0_59_total_pct,wasting_0_59_total_pct,stunting_knowledge_correct_pct,stunting_knowledge_weight_not_gain_pct,stunting_knowledge_failed_growth_pct,stunting_knowledge_stunted_pct,stunting_knowledge_chronic_malnutrition_pct,smoking_10_18_current_pct,smoking_10_18_never_pct,smoking_10plus_current_pct,smoking_10plus_never_pct,cigarettes_per_day,cigarettes_per_week_occasional,cigarette_pack_price_rupiah,smoking_start_10_14_pct,smoking_start_15_19_pct,fish_daily_pct,fish_weekly_pct,fish_rare_pct,egg_daily_pct,egg_weekly_pct,egg_rare_pct,milk_daily_pct,milk_weekly_pct,milk_rare_pct,vulnerability_score,policy_priority_score,ski_health_context_score
Jawa Barat,rural,38777.0,30865.0,,123782.0,48234.0,29246.0,147122.0,84.13561533965009,75548.0,2.5662810465646637,-0.18855730235413873,6,2069.91,62.26,7.08,0.428,90.58,92.4,18.6,67.19333333333334,50345.2,7.3,27.0,75.1,36.4,61.3,67.9,43.4,78.7,21.7,14.7,6.3,67.7,41.7,52.0,36.5,42.4,11.1,87.6,32.0,63.9,10.97,6.91,19949.0,20.0,53.8,7.9,61.9,30.1,32.8,60.9,6.2,12.9,30.6,56.5,41.142250795865635,54.44415883251638,55.37727958360274
Jawa Barat,total,42645.0,41813.0,,109664.0,53640.0,40658.0,178756.0,61.348430262480704,56024.0,2.0444444444444443,-0.6300335570469798,10,2069.91,62.26,7.08,0.428,90.58,92.4,18.6,67.19333333333334,50345.2,7.3,27.0,75.1,36.4,61.3,67.9,43.4,78.7,21.7,14.7,6.3,67.7,41.7,52.0,36.5,42.4,11.1,87.6,32.0,63.9,10.97,6.91,19949.0,20.0,53.8,7.9,61.9,30.1,32.8,60.9,6.2,12.9,30.6,56.5,32.93052742287404,49.51712480872142,55.37727958360274
Jawa Barat,urban,43600.0,44519.0,,106174.0,54976.0,43479.0,186574.0,56.90717892096434,51198.0,1.9312791036088475,-0.7572475370618043,9,2069.91,62.26,7.08,0.428,90.58,92.4,18.6,67.19333333333334,50345.2,7.3,27.0,75.1,36.4,61.3,67.9,43.4,78.7,21.7,14.7,6.3,67.7,41.7,52.0,36.5,42.4,11.1,87.6,32.0,63.9,10.97,6.91,19949.0,20.0,53.8,7.9,61.9,30.1,32.8,60.9,6.2,12.9,30.6,56.5,31.330052097687872,48.55683961360971,55.37727958360274
Jawa Tengah,rural,29549.0,24466.0,,84327.0,50538.0,27848.0,132401.0,63.69060656641567,33789.0,1.6685860144841504,-0.5700902439313624,28,1993.03,59.23,9.58,0.364,88.89,90.56,14.82,64.75666666666666,37892.3,5.9,23.6,83.2,33.0,67.1,68.5,47.4,79.3,20.7,14.4,7.1,66.8,48.2,49.1,40.3,44.6,9.6,89.1,28.4,68.6,10.64,8.06,18531.0,20.9,54.4,7.0,61.7,31.3,18.0,72.5,9.5,9.4,23.1,67.5,39.146039252597056,50.7667667784708,59.81176237230507
Jawa Tengah,total,34467.0,27701.0,,81779.0,51295.0,32742.0,146205.0,55.934475565131144,30484.0,1.5942879422945706,-0.7878061605057534,29,1993.03,59.23,9.58,0.364,88.89,90.56,14.82,64.75666666666666,37892.3,5.9,23.6,83.2,33.0,67.1,68.5,47.4,79.3,20.7,14.4,7.1,66.8,48.2,49.1,40.3,44.6,9.6,89.1,28.4,68.6,10.64,8.06,18531.0,20.9,54.4,7.0,61.7,31.3,18.0,72.5,9.5,9.4,23.1,67.5,36.350994493380824,49.08973992294106,59.81176237230507
Jawa Tengah,urban,38755.0,30521.0,,79558.0,51955.0,37008.0,158239.0,50.27711246911317,27603.0,1.5312866904051583,-0.9889765956911939,31,1993.03,59.23,9.58,0.364,88.89,90.56,14.82,64.75666666666666,37892.3,5.9,23.6,83.2,33.0,67.1,68.5,47.4,79.3,20.7,14.4,7.1,66.8,48.2,49.1,40.3,44.6,9.6,89.1,28.4,68.6,10.64,8.06,18531.0,20.9,54.4,7.0,61.7,31.3,18.0,72.5,9.5,9.4,23.1,67.5,34.312274019230806,47.866507638451054,59.81176237230507
Jawa Timur,rural,30540.0,24952.0,,86096.0,50312.0,27797.0,133601.0,64.44263141742951,35784.0,1.7112418508506917,-0.5517677940903177,27,2046.2,60.48,9.56,0.373,86.9,90.32,16.7,64.64,41814.5,5.3,22.8,83.5,31.2,62.2,60.0,39.1,76.9,17.6,13.3,6.8,65.5,46.6,45.6,46.4,48.9,7.9,91.3,27.0,70.4,11.2,9.69,17431.0,17.9,55.9,10.6,62.6,26.8,16.7,72.8,10.6,7.6,20.7,71.7,38.344348471464755,50.065922922218945,55.03803753557759
Jawa Timur,total,36667.0,32591.0,,84472.0,51613.0,36229.0,157100.0,53.769573520050926,32859.0,1.636641931296379,-0.8597878586987404,27,2046.2,60.48,9.56,0.373,86.9,90.32,16.7,64.64,41814.5,5.3,22.8,83.5,31.2,62.2,60.0,39.1,76.9,17.6,13.3,6.8,65.5,46.6,45.6,46.4,48.9,7.9,91.3,27.0,70.4,11.2,9.69,17431.0,17.9,55.9,10.6,62.6,26.8,16.7,72.8,10.6,7.6,20.7,71.7,34.498142865094906,47.75819955839704,55.03803753557759
Jawa Timur,urban,41340.0,38416.0,,83235.0,52605.0,42659.0,175020.0,47.55742200891327,30630.0,1.5822640433418877,-1.1027212110290143,27,2046.2,60.48,9.56,0.373,86.9,90.32,16.7,64.64,41814.5,5.3,22.8,83.5,31.2,62.2,60.0,39.1,76.9,17.6,13.3,6.8,65.5,46.6,45.6,46.4,48.9,7.9,91.3,27.0,70.4,11.2,9.69,17431.0,17.9,55.9,10.6,62.6,26.8,16.7,72.8,10.6,7.6,20.7,71.7,32.259495590856375,46.41501119385392,55.03803753557759
Kalimantan Barat,rural,29269.0,43507.0,,99777.0,54208.0,30939.0,157923.0,63.18079063847571,45569.0,1.8406323789846517,-0.5827595538049851,20,1903.38,58.52,6.25,0.314,92.65,95.14,16.51,68.10000000000001,5695.5,2.8,19.6,92.7,28.1,60.9,57.4,37.6,80.7,24.5,21.1,13.3,73.6,61.9,60.4,51.5,48.6,4.699999999999999,95.2,23.9,74.6,15.16,11.69,21135.0,14.2,60.0,12.2,70.5,17.3,20.0,74.0,6.0,7.7,32.6,59.7,35.715287451773925,35.79381225520632,47.0435500969173
Kalimantan Barat,total,34145.0,47929.0,,93153.0,56215.0,37951.0,176240.0,52.85576486609169,36938.0,1.6570844080761362,-0.8919412149903921,20,1903.38,58.52,6.25,0.314,92.65,95.14,16.51,68.10000000000001,5695.5,2.8,19.6,92.7,28.1,60.9,57.4,37.6,80.7,24.5,21.1,13.3,73.6,61.9,60.4,51.5,48.6,4.699999999999999,95.2,23.9,74.6,15.16,11.69,21135.0,14.2,60.0,12.2,70.5,17.3,20.0,74.0,6.0,7.7,32.6,59.7,31.994500738772924,33.56134022740572,47.0435500969173
Kalimantan Barat,urban,42103.0,55149.0,,82339.0,59491.0,49397.0,206140.0,39.94324245658291,22848.0,1.3840580928207629,-1.5035523870826704,28,1903.38,58.52,6.25,0.314,92.65,95.14,16.51,68.10000000000001,5695.5,2.8,19.6,92.7,28.1,60.9,57.4,37.6,80.7,24.5,21.1,13.3,73.6,61.9,60.4,51.5,48.6,4.699999999999999,95.2,23.9,74.6,15.16,11.69,21135.0,14.2,60.0,12.2,70.5,17.3,20.0,74.0,6.0,7.7,32.6,59.7,27.34126859468168,30.769400940950966,47.0435500969173
Kalimantan Selatan,rural,40187.0,25698.0,,87247.0,47726.0,36199.0,149810.0,58.23843535144516,39521.0,1.8280811297825086,-0.717079097275551,26,2198.3,69.2,4.02,0.298,89.22,92.76,18.51,66.83,4273.4,2.8,16.5,87.5,22.5,58.0,57.0,37.8,76.8,24.7,21.6,12.4,72.5,55.7,53.3,50.7,41.5,4.5,95.0,20.4,77.8,15.0,11.19,19335.0,13.3,58.4,36.5,55.1,8.4,23.0,70.7,6.3,8.3,35.5,56.2,23.415202787377087,25.40083818301423,35.55059435870316
