province,year,area,internet_pct,mobile_pct,computer_pct,digital_index_pct
SULAWESI BARAT,2023,rural,83.23,90.77,9.38,61.126666666666665
SULAWESI BARAT,2023,total,84.56,91.55,12.62,62.910000000000004
SULAWESI BARAT,2023,urban,89.63,94.98,24.93,69.84666666666668
SULAWESI BARAT,2024,rural,88.64,94.32,10.48,64.47999999999999
SULAWESI BARAT,2024,total,89.67,94.95,13.98,66.2
SULAWESI BARAT,2024,urban,93.89,97.53,28.37,73.26333333333334
SULAWESI SELATAN,2023,rural,85.96,91.49,12.99,63.48
SULAWESI SELATAN,2023,total,89.52,93.06,20.51,67.69666666666666
SULAWESI SELATAN,2023,urban,93.67,96.15,29.28,73.03333333333333
SULAWESI SELATAN,2024,rural,88.59,95.42,13.71,65.90666666666667
SULAWESI SELATAN,2024,total,92.18,96.67,22.13,70.32666666666667
SULAWESI SELATAN,2024,urban,96.23,98.07,31.61,75.30333333333334
SULAWESI TENGAH,2023,rural,81.03,86.69,9.17,58.96333333333333
SULAWESI TENGAH,2023,total,84.61,88.3,15.67,62.85999999999999
SULAWESI TENGAH,2023,urban,91.86,93.99,28.81,71.55333333333333
SULAWESI TENGAH,2024,rural,84.59,91.66,9.52,61.92333333333334
SULAWESI TENGAH,2024,total,87.94,93.4,16.28,65.87333333333333
SULAWESI TENGAH,2024,urban,94.62,96.87,29.76,73.75
SULAWESI TENGGARA,2023,rural,86.14,93.88,12.54,64.18666666666665
SULAWESI TENGGARA,2023,total,88.69,94.58,19.4,67.55666666666666
SULAWESI TENGGARA,2023,urban,92.83,97.14,30.48,73.48333333333333
SULAWESI TENGGARA,2024,rural,89.78,96.82,12.35,66.31666666666666
SULAWESI TENGGARA,2024,total,91.7,97.23,19.77,69.56666666666668
SULAWESI TENGGARA,2024,urban,94.65,97.86,31.14,74.55
SULAWESI UTARA,2023,rural,81.95,89.16,10.35,60.48666666666667
SULAWESI UTARA,2023,total,85.86,91.53,17.23,64.87333333333332
SULAWESI UTARA,2023,urban,88.96,95.18,22.68,68.94
SULAWESI UTARA,2024,rural,85.19,93.1,10.38,62.88999999999999
SULAWESI UTARA,2024,total,89.31,95.39,17.77,67.49
SULAWESI UTARA,2024,urban,92.57,97.19,23.59,71.11666666666666
SUMATERA BARAT,2023,rural,87.03,90.78,10.99,62.93333333333334
SUMATERA BARAT,2023,total,89.92,93.49,19.75,67.72
SUMATERA BARAT,2023,urban,92.81,97.05,28.48,72.78
SUMATERA BARAT,2024,rural,88.82,94.6,11.83,65.08333333333333
SUMATERA BARAT,2024,total,91.89,96.36,20.48,69.57666666666667
SUMATERA BARAT,2024,urban,94.85,98.05,28.84,73.91333333333333
SUMATERA SELATAN,2023,rural,87.45,91.4,7.82,62.223333333333336
SUMATERA SELATAN,2023,total,89.91,92.99,14.78,65.89333333333333
SUMATERA SELATAN,2023,urban,94.08,96.5,26.58,72.38666666666666
SUMATERA SELATAN,2024,rural,88.72,94.35,9.46,64.17666666666666
SUMATERA SELATAN,2024,total,90.94,95.33,14.93,67.06666666666666
SUMATERA SELATAN,2024,urban,94.82,97.06,24.49,72.12333333333333
SUMATERA UTARA,2023,rural,85.56,91.98,9.19,62.24333333333334
SUMATERA UTARA,2023,total,89.66,93.74,15.39,66.26333333333332
SUMATERA UTARA,2023,urban,92.78,95.95,20.12,69.61666666666667
SUMATERA UTARA,2024,rural,89.05,95.32,8.43,64.26666666666667
SUMATERA UTARA,2024,total,92.3,96.48,15.35,68.04333333333334
SUMATERA UTARA,2024,urban,94.77,97.35,20.6,70.90666666666667
