city,group,sub_group,year,value
KOTA MEULABOH,2020,Makanan,2020,113.73916666666668
KOTA BANDA ACEH,2020,Makanan,2020,101.65333333333332
KOTA LHOKSEUMAWE,2020,Makanan,2020,104.01833333333332
KOTA SIBOLGA,2020,Makanan,2020,103.1525
KOTA PEMATANG SIANTAR,2020,Makanan,2020,103.2958333333333
KOTA MEDAN,2020,Makanan,2020,101.47166666666668
KOTA PADANGSIDIMPUAN,2020,Makanan,2020,103.01166666666668
KOTA GUNUNGSITOLI,2020,Makanan,2020,107.5525
KOTA PADANG,2020,Makanan,2020,102.89666666666668
KOTA BUKITTINGGI,2020,Makanan,2020,100.91666666666664
TEMBILAHAN,2020,Makanan,2020,105.18166666666666
KOTA PEKANBARU,2020,Makanan,2020,102.85250000000002
KOTA DUMAI,2020,Makanan,2020,102.885
BUNGO,2020,Makanan,2020,103.81083333333332
KOTA JAMBI,2020,Makanan,2020,100.6825
KOTA PALEMBANG,2020,Makanan,2020,102.7725
KOTA LUBUKLINGGAU,2020,Makanan,2020,101.96583333333332
KOTA BENGKULU,2020,Makanan,2020,100.56666666666668
KOTA BANDAR LAMPUNG,2020,Makanan,2020,105.71750000000002
KOTA METRO,2020,Makanan,2020,104.36833333333335
TANJUNG PANDAN,2020,Makanan,2020,103.6875
KOTA PANGKAL PINANG,2020,Makanan,2020,101.62416666666668
KOTA BATAM,2020,Makanan,2020,105.63666666666666
KOTA TANJUNG PINANG,2020,Makanan,2020,103.86
DKI JAKARTA,2020,Makanan,2020,108.13916666666664
KOTA BOGOR,2020,Makanan,2020,104.87
KOTA SUKABUMI,2020,Makanan,2020,100.94333333333331
KOTA BANDUNG,2020,Makanan,2020,106.26416666666668
KOTA CIREBON,2020,Makanan,2020,104.03
KOTA BEKASI,2020,Makanan,2020,107.97083333333336
KOTA DEPOK,2020,Makanan,2020,106.52250000000002
KOTA TASIKMALAYA,2020,Makanan,2020,102.55416666666667
CILACAP,2020,Makanan,2020,102.6775
PURWOKERTO,2020,Makanan,2020,103.74083333333331
KUDUS,2020,Makanan,2020,105.22916666666669
KOTA SURAKARTA,2020,Makanan,2020,104.7275
KOTA SEMARANG,2020,Makanan,2020,107.85666666666668
KOTA TEGAL,2020,Makanan,2020,103.21166666666666
KOTA YOGYAKARTA,2020,Makanan,2020,105.925
JEMBER,2020,Makanan,2020,103.09083333333336
BANYUWANGI,2020,Makanan,2020,97.88416666666669
SUMENEP,2020,Makanan,2020,104.88333333333333
KOTA KEDIRI,2020,Makanan,2020,106.08166666666666
KOTA MALANG,2020,Makanan,2020,103.82833333333332
KOTA PROBOLINGGO,2020,Makanan,2020,104.0475
KOTA MADIUN,2020,Makanan,2020,104.26166666666664
KOTA SURABAYA,2020,Makanan,2020,103.585
KOTA TANGERANG,2020,Makanan,2020,104.82916666666668
KOTA CILEGON,2020,Makanan,2020,105.4725
KOTA SERANG,2020,Makanan,2020,106.47916666666669
SINGARAJA,2020,Makanan,2020,103.57666666666668
KOTA DENPASAR,2020,Makanan,2020,100.61833333333334
KOTA MATARAM,2020,Makanan,2020,103.795
KOTA BIMA,2020,Makanan,2020,103.2625
WAINGAPU,2020,Makanan,2020,109.88416666666669
MAUMERE,2020,Makanan,2020,106.13
KOTA KUPANG,2020,Makanan,2020,102.9375
SINTANG,2020,Makanan,2020,107.50583333333331
KOTA PONTIANAK,2020,Makanan,2020,109.30083333333332
KOTA SINGKAWANG,2020,Makanan,2020,101.33833333333337
SAMPIT,2020,Makanan,2020,106.39833333333335
KOTA PALANGKA RAYA,2020,Makanan,2020,108.75583333333334
KOTA BARU,2020,Makanan,2020,111.94166666666666
TANJUNG,2020,Makanan,2020,107.93166666666669
KOTA BANJARMASIN,2020,Makanan,2020,109.47583333333333
KOTA BALIKPAPAN,2020,Makanan,2020,104.04583333333336
KOTA SAMARINDA,2020,Makanan,2020,103.32416666666668
TANJUNG SELOR,2020,Makanan,2020,96.30583333333334
KOTA TARAKAN,2020,Makanan,2020,102.74250000000002
KOTA MANADO,2020,Makanan,2020,102.91166666666668
KOTA KOTAMOBAGU,2020,Makanan,2020,105.02666666666669
LUWUK,2020,Makanan,2020,110.52500000000002
KOTA PALU,2020,Makanan,2020,108.27333333333335
BULUKUMBA,2020,Makanan,2020,100.635
WATAMPONE,2020,Makanan,2020,101.9475
KOTA MAKASSAR,2020,Makanan,2020,106.93
KOTA PARE-PARE,2020,Makanan,2020,101.6975
KOTA PALOPO,2020,Makanan,2020,105.27166666666666
KOTA KENDARI,2020,Makanan,2020,104.66083333333334
KOTA BUA-BAU,2020,Makanan,2020,99.19666666666666
KOTA GORONTALO,2020,Makanan,2020,102.19416666666667
MAMUJU,2020,Makanan,2020,106.59583333333336
KOTA AMBON,2020,Makanan,2020,104.38416666666664
KOTA TUAL,2020,Makanan,2020,105.88833333333332
KOTA TERNATE,2020,Makanan,2020,109.88833333333334
MANOKWARI,2020,Makanan,2020,105.3525
KOTA SORONG,2020,Makanan,2020,102.63166666666666
MERAUKE,2020,Makanan,2020,102.59499999999998
TIMIKA,2020,Makanan,2020,113.97083333333336
KOTA JAYAPURA,2020,Makanan,2020,104.73916666666668
INDONESIA,2020,Makanan,2020,105.57
KOTA MEULABOH,2020,Minuman yang Tidak Beralkohol,2020,103.0983333333333
