province,year,internet_pct,poverty_rate,calorie_per_capita,protein_per_capita
JAWA TIMUR,2021,79.66,10.59,2111.8,60.68
JAWA TIMUR,2022,85.11,10.49,2041.69,59.96
JAWA TIMUR,2023,84.28,10.35,2068.37,60.66
JAWA TIMUR,2024,86.9,9.56,2046.2,60.48
KALIMANTAN BARAT,2018,84.74,6.81,1924.96,55.66
KALIMANTAN BARAT,2019,84.74,6.81,1912.03,55.82
KALIMANTAN BARAT,2020,70.44,7.24,1907.88,55.45
KALIMANTAN BARAT,2021,79.23,6.84,1941.4,57.0
KALIMANTAN BARAT,2022,84.74,6.81,1892.26,58.19
KALIMANTAN BARAT,2023,88.45,6.71,1919.5,58.63
KALIMANTAN BARAT,2024,92.65,6.25,1903.38,58.52
KALIMANTAN SELATAN,2018,87.21,4.56,2268.53,67.83
KALIMANTAN SELATAN,2019,87.21,4.56,2270.35,68.13
KALIMANTAN SELATAN,2020,78.64,4.83,2271.73,68.57
KALIMANTAN SELATAN,2021,83.11,4.56,2295.98,69.34
KALIMANTAN SELATAN,2022,87.21,4.61,2188.8,68.01
KALIMANTAN SELATAN,2023,88.45,4.29,2167.47,67.36
KALIMANTAN SELATAN,2024,89.22,4.02,2198.3,69.2
KALIMANTAN TENGAH,2018,84.76,5.22,2181.57,63.62
KALIMANTAN TENGAH,2019,84.76,5.22,2148.8,63.33
KALIMANTAN TENGAH,2020,76.57,5.26,2141.22,62.69
KALIMANTAN TENGAH,2021,80.27,5.16,2194.45,63.95
KALIMANTAN TENGAH,2022,84.76,5.22,2116.05,65.01
KALIMANTAN TENGAH,2023,88.27,5.11,2133.87,64.01
KALIMANTAN TENGAH,2024,92.13,5.26,2050.6,61.84
KALIMANTAN TIMUR,2018,92.98,6.27,1998.36,62.11
KALIMANTAN TIMUR,2019,92.98,6.27,2022.32,63.52
KALIMANTAN TIMUR,2020,86.87,6.64,2019.56,64.09
KALIMANTAN TIMUR,2021,89.67,6.27,1981.64,61.29
KALIMANTAN TIMUR,2022,93.06,6.44,1918.34,63.0
KALIMANTAN TIMUR,2023,92.98,6.11,2008.81,65.72
KALIMANTAN TIMUR,2024,95.45,5.51,1950.46,64.3
KALIMANTAN UTARA,2020,86.58,7.41,,
KALIMANTAN UTARA,2021,88.02,6.83,,
KALIMANTAN UTARA,2022,94.27,6.86,,
KALIMANTAN UTARA,2023,93.76,6.45,,
KALIMANTAN UTARA,2024,94.58,5.38,,
KEPULAUAN BANGKA BELITUNG,2018,,,2137.94,64.25
KEPULAUAN BANGKA BELITUNG,2019,,,2150.84,67.2
KEPULAUAN BANGKA BELITUNG,2020,,,2120.5,65.69
KEPULAUAN BANGKA BELITUNG,2021,,,2111.52,64.63
KEPULAUAN BANGKA BELITUNG,2022,,,2065.86,67.57
KEPULAUAN BANGKA BELITUNG,2023,,,2058.61,66.38
KEPULAUAN BANGKA BELITUNG,2024,,,1992.17,65.69
KEPULAUAN RIAU,2018,,,2115.22,63.59
KEPULAUAN RIAU,2019,,,2131.06,65.83
KEPULAUAN RIAU,2020,,,2140.41,69.39
KEPULAUAN RIAU,2021,,,2149.34,70.31
KEPULAUAN RIAU,2022,,,2019.87,64.67
KEPULAUAN RIAU,2023,,,2047.79,66.5
KEPULAUAN RIAU,2024,,,2050.02,67.05
LAMPUNG,2018,87.9,11.44,2082.31,56.29
LAMPUNG,2019,87.9,11.44,2050.79,57.3
LAMPUNG,2020,74.09,12.76,2024.63,56.27
LAMPUNG,2021,83.49,11.67,2097.21,57.65
LAMPUNG,2022,87.9,11.44,2002.72,57.67
LAMPUNG,2023,88.88,11.11,2096.21,60.13
LAMPUNG,2024,91.57,10.62,2005.8,57.99
MALUKU,2018,82.36,16.3,1780.9,50.21
MALUKU,2019,82.36,16.3,1782.61,50.69
MALUKU,2020,65.86,17.99,1772.15,51.37
MALUKU,2021,76.89,16.3,1874.88,53.45
MALUKU,2022,82.36,16.23,1836.68,52.91
MALUKU,2023,82.56,16.42,1819.57,52.86
MALUKU,2024,87.27,15.78,1791.94,52.2
MALUKU UTARA,2018,77.8,6.38,1820.23,49.17
MALUKU UTARA,2019,77.8,6.38,1765.13,48.43
MALUKU UTARA,2020,62.39,6.97,1773.4,48.37
MALUKU UTARA,2021,69.43,6.38,1862.15,51.59
MALUKU UTARA,2022,77.8,6.37,1843.68,54.76
MALUKU UTARA,2023,81.88,6.46,1822.8,52.7
MALUKU UTARA,2024,87.28,6.03,1800.54,52.05
NUSA TENGGARA BARAT,2018,79.77,13.83,2316.43,68.04
NUSA TENGGARA BARAT,2019,79.77,13.83,2451.65,74.29
NUSA TENGGARA BARAT,2020,69.51,14.23,2441.93,73.66
NUSA TENGGARA BARAT,2021,73.61,13.83,2542.98,76.79
NUSA TENGGARA BARAT,2022,79.77,13.82,2460.44,74.82
NUSA TENGGARA BARAT,2023,81.79,13.85,2484.92,76.12
NUSA TENGGARA BARAT,2024,86.54,11.91,2419.21,74.45
NUSA TENGGARA TIMUR,2018,74.23,20.23,1956.37,53.4
NUSA TENGGARA TIMUR,2019,74.23,20.23,1916.72,53.78
NUSA TENGGARA TIMUR,2020,56.87,21.21,1948.11,54.88
