Kabupaten/Kota,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Rokok dan Tembakau Per Kabupaten/kota (Satuan Komoditas),,,,,
,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Kota Mojokerto,0,8.378,1.521,0.019,0.011,0.025
Kota Madiun,0,9.446,0.549,0.319,0.013,0.086
Kota Surabaya,0,10.61,0.564,0.104,0.003,0.146
Kota Batu,0,13.347,2.039,0.401,0.003,0.039
Pandeglang,0,21.316,4.76,0.437,-,0.019
Lebak,0,17.302,7.274,0.67,0,-
Tangerang,0,14.831,4.757,0.402,0.002,0
Serang,0,18.799,4.841,0.042,0,0.067
Kota Tangerang,0,12.749,1.545,0.803,0.009,0.216
Kota Cilegon,0,15.423,2.989,0.994,0.009,-
Kota Serang,0,20.183,2.329,0.401,-,0.092
Kota Tangerang Selatan,0,8.928,1.538,1.754,0.001,0.045
Jembrana,0,12.903,1.106,3.025,0.01,0.064
Tabanan,0,11.92,1.201,3.035,0.004,0.408
Badung,0,7.862,0.667,2.797,0.001,0.118
Gianyar,0,5.924,0.626,2.609,0.004,0.126
Klungkung,0,5.234,0.285,0.884,0.018,0.155
Bangli,0,7.379,1.371,2.933,0.02,0.288
Karangasem,0,7.692,0.791,1.017,0.009,0.133
Buleleng,0,9.364,3.405,2.871,0.017,0.081
Kota Denpasar,0,6.877,0.371,2.578,0.001,0.209
Lombok Barat,0,12.191,0.711,1.252,0.221,0.313
Lombok Tengah,0,11.381,0.573,0.5,0.28,0.416
Lombok Timur,0,7.694,0.247,0.46,0.304,0.383
Sumbawa,0,9.765,4.669,1.027,0.064,0.208
Dompu,0,12.201,6.124,0.236,0.043,0.022
Bima,0,7.4,7.661,0.586,0.041,0.529
Sumbawa Barat,0,14.812,1.049,0.217,0.056,0.034
Lombok Utara,0,5.385,0.383,0.329,0.307,0.376
Kota Mataram,0,12.924,0.881,0.24,0.058,0.146
Kota Bima,0,14.55,2.534,0.716,0.005,0.002
Sumba Barat,0,5.631,3.332,0.116,0.021,0.203
Sumba Timur,0,7.205,6.453,0.702,0.052,0.315
Kupang,0,2.497,3.441,0.127,0.046,0.298
Timor Tengah Selatan,0,0.982,3.077,0.195,0.077,0.768
Timor Tengah Utara,0,2.383,3.758,0.262,0.069,0.7
Belu,0,2.981,2.495,0.724,0.047,0.284
Alor,0,2.134,5.016,0.057,0.11,1.719
Lembata,0,8.422,1.946,1.258,0.011,0.137
Flores Timur,0,10.132,0.87,1.724,0.015,0.004
Sikka,0,10.32,0.119,0.206,0.05,0.074
Ende,0,8.615,0.755,1.296,0.031,0.298
Ngada,0,6.688,0.852,0.481,0.049,0.178
Manggarai,0,14.699,0.107,0.599,0.011,0.046
Rote Ndao,0,3.638,1.529,0.495,0.069,0.176
Manggarai Barat,0,17.608,0.375,0.092,0.007,0.005
Sumba Tengah,0,2.008,5.82,0.452,0.079,0.392
Sumba Barat Daya,0,4.262,4.866,0.005,0.022,0.623
Nagekeo,0,6.001,0.577,1.824,0.031,0.083
Manggarai Timur,0,12.055,0.594,0.759,0.135,0.185
Sabu Raijua,0,7.694,1.714,0.095,0.067,0.223
Malaka,0,3.196,1.969,0.316,0.042,0.492
Kota Kupang,0,4.471,1.006,1.185,0.002,0.023
Sambas,0,17.454,1.02,0.702,0.005,0.015
Bengkayang,0,19.622,2.613,0.607,0.029,0.091
Landak,0,20.082,1.888,1.811,0.058,-
Mempawah,0,19.697,2.156,0.932,0.01,0.013
Sanggau,0,21.158,1.477,2.017,0.067,0.009
Ketapang,0,19.653,2.127,0.291,0.004,0.009
Sintang,0,21.702,0.657,1.117,0.022,0.006
Kapuas Hulu,0,23.119,4.785,0.344,0.012,0.003
Sekadau,0,19.235,2.228,1.246,0.016,0.003
Melawi,0,24.977,0.945,1.465,0.051,0.059
Kayong Utara,0,23.447,3.077,0.014,0.024,0.089
Kubu Raya,0,18.515,0.597,1.602,0.011,0.015
Kota Pontianak,0,12.865,0.299,0.101,0,0.092
Kota Singkawang,0,15.238,1.112,0.064,0.006,0.092
Kotawaringin Barat,0,19.801,2.493,3.277,0.006,0.046
Kotawaringin Timur,0,22.664,1.351,0.439,0.014,0.072
Kapuas,0,20.51,0.048,-,0.004,0.03
Barito Selatan,0,20.549,1.305,1.042,0.001,0.184
Barito Utara,0,27.781,0.304,-,0.003,0.069
Sukamara,0,22.902,3.447,0.055,0.012,0.086
Lamandau,0,17.325,1.206,1.687,0.017,0.014
Seruyan,0,25.832,1.674,0.993,0.023,0.025
Katingan,0,18.621,2.024,0.588,0.002,0.537
Pulang Pisau,0,23.579,3.272,-,0.009,-
Gunung Mas,0,25.518,1.143,0.339,0.002,0.015
Barito Timur,0,20.579,0.981,1.307,0.009,0.01
Murung Raya,0,15.43,2.793,0.072,0.003,-
Kota Palangka Raya,0,14.424,0.302,0.689,-,0.036
Tanah Laut,0,23.205,1.095,0.036,0.006,0.014
Kota Baru,0,20.076,1.546,1.8,0.005,0.007
Banjar,0,15.869,0.773,0.499,0.004,0.146
Barito Kuala,0,20.072,0.458,0.606,0.001,0.08
Tapin,0,24.305,0.273,-,0.002,0.033
Hulu Sungai Selatan,0,18.026,0.601,-,0.003,0.03
Hulu Sungai Tengah,0,21.091,0.308,0.036,-,0.008
Hulu Sungai Utara,0,11.659,0.652,0.06,0.002,0.038
Tabalong,0,15.536,1.497,0.195,0.006,0.02
Tanah Bumbu,0,18.493,1.265,0.07,0.002,0.208
Balangan,0,16.441,0.825,0.178,0.002,0.012
Kota Banjarmasin,0,12.252,0.623,0.078,0.021,0.115
Kota Banjar Baru,0,14.734,0.688,0.894,0.006,0.018
Paser,0,18.281,1.349,1.017,0.004,0.05
Kutai Barat,0,24.647,0.457,0.301,0.005,-
