province,year,group,sub_group,value
BANTEN,2021,2021,Penyediaan Makanan dan Minuman / Restoran,108.1388888888889
BANTEN,2021,2021,Rokok dan Tembakau,116.62416666666667
BANTEN,2022,2022,Jasa Pelayanan Makanan dan Minuman,112.0225
BANTEN,2022,2022,Makanan,115.48083333333334
BANTEN,2022,2022,"Makanan, Minuman dan Tembakau",116.35194444444444
BANTEN,2022,2022,Minuman yang Tidak Beralkohol,109.43805555555555
BANTEN,2022,2022,Penyediaan Makanan dan Minuman / Restoran,112.0225
BANTEN,2022,2022,Rokok dan Tembakau,126.16944444444444
BANTEN,2023,2023,Asuransi,103.19
BANTEN,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",96.6475
BANTEN,2023,2023,Jasa Keuangan,97.41999999999996
BANTEN,2023,2023,Jasa Pelayanan Makanan dan Minuman,114.6925
BANTEN,2023,2023,Layanan Informasi dan Komunikasi,101.75833333333333
BANTEN,2023,2023,Makanan,119.51222222222223
BANTEN,2023,2023,"Makanan, Minuman dan Tembakau",121.43222222222225
BANTEN,2023,2023,Minuman yang Tidak Beralkohol,111.7761111111111
BANTEN,2023,2023,Penyediaan Makanan dan Minuman / Restoran,114.6925
BANTEN,2023,2023,Peralatan Informasi dan Komunikasi,79.7975
BANTEN,2023,2023,Rokok dan Tembakau,139.35833333333332
BENGKULU,2018,2020,Asuransi,112.99
BENGKULU,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",99.96750000000002
BENGKULU,2018,2020,Jasa Keuangan,102.54999999999995
BENGKULU,2018,2020,Layanan Informasi dan Komunikasi,100.275
BENGKULU,2018,2020,Peralatan Informasi dan Komunikasi,97.89833333333333
BENGKULU,2018,2021,Asuransi,122.99
BENGKULU,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",100.43500000000002
BENGKULU,2018,2021,Jasa Keuangan,102.51166666666664
BENGKULU,2018,2021,Layanan Informasi dan Komunikasi,99.9
BENGKULU,2018,2021,Peralatan Informasi dan Komunikasi,100.0975
BENGKULU,2018,2022,Asuransi,122.99
BENGKULU,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",101.0425
BENGKULU,2018,2022,Jasa Keuangan,100.83
BENGKULU,2018,2022,Layanan Informasi dan Komunikasi,99.9
BENGKULU,2018,2022,Peralatan Informasi dan Komunikasi,102.81333333333332
BENGKULU,2020,2020,Jasa Pelayanan Makanan dan Minuman,104.675
BENGKULU,2020,2020,Makanan,100.56666666666668
BENGKULU,2020,2020,"Makanan, Minuman dan Tembakau",103.285
BENGKULU,2020,2020,Minuman yang Tidak Beralkohol,108.4875
BENGKULU,2020,2020,Penyediaan Makanan dan Minuman / Restoran,104.675
BENGKULU,2020,2020,Rokok dan Tembakau,113.32666666666668
BENGKULU,2021,2021,Jasa Pelayanan Makanan dan Minuman,107.31499999999998
BENGKULU,2021,2021,Makanan,101.87083333333334
BENGKULU,2021,2021,"Makanan, Minuman dan Tembakau",104.91083333333334
BENGKULU,2021,2021,Minuman yang Tidak Beralkohol,107.09
BENGKULU,2021,2021,Penyediaan Makanan dan Minuman / Restoran,107.31499999999998
BENGKULU,2021,2021,Rokok dan Tembakau,117.36166666666668
BENGKULU,2022,2022,Jasa Pelayanan Makanan dan Minuman,111.93833333333332
BENGKULU,2022,2022,Makanan,109.20166666666664
BENGKULU,2022,2022,"Makanan, Minuman dan Tembakau",112.49416666666669
BENGKULU,2022,2022,Minuman yang Tidak Beralkohol,111.82666666666668
BENGKULU,2022,2022,Penyediaan Makanan dan Minuman / Restoran,111.93833333333332
BENGKULU,2022,2022,Rokok dan Tembakau,127.00333333333332
BENGKULU,2023,2023,Asuransi,122.99
BENGKULU,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",101.47249999999998
BENGKULU,2023,2023,Jasa Keuangan,100.83
BENGKULU,2023,2023,Jasa Pelayanan Makanan dan Minuman,115.64500000000002
BENGKULU,2023,2023,Layanan Informasi dan Komunikasi,100.04083333333334
BENGKULU,2023,2023,Makanan,111.9425
BENGKULU,2023,2023,"Makanan, Minuman dan Tembakau",117.04583333333332
BENGKULU,2023,2023,Minuman yang Tidak Beralkohol,117.09916666666663
BENGKULU,2023,2023,Penyediaan Makanan dan Minuman / Restoran,115.64500000000002
BENGKULU,2023,2023,Peralatan Informasi dan Komunikasi,104.08916666666666
BENGKULU,2023,2023,Rokok dan Tembakau,139.16583333333332
DI YOGYAKARTA,2018,2020,Asuransi,100.0
DI YOGYAKARTA,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",99.34
DI YOGYAKARTA,2018,2020,Jasa Keuangan,100.0
DI YOGYAKARTA,2018,2020,Layanan Informasi dan Komunikasi,101.04999999999995
DI YOGYAKARTA,2018,2020,Peralatan Informasi dan Komunikasi,95.67583333333332
DI YOGYAKARTA,2018,2021,Asuransi,100.0
DI YOGYAKARTA,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",99.65916666666668
DI YOGYAKARTA,2018,2021,Jasa Keuangan,99.87
DI YOGYAKARTA,2018,2021,Layanan Informasi dan Komunikasi,101.0625
DI YOGYAKARTA,2018,2021,Peralatan Informasi dan Komunikasi,96.68916666666668
DI YOGYAKARTA,2018,2022,Asuransi,100.0
DI YOGYAKARTA,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",99.78833333333334
DI YOGYAKARTA,2018,2022,Jasa Keuangan,94.20000000000005
DI YOGYAKARTA,2018,2022,Layanan Informasi dan Komunikasi,101.15999999999998
DI YOGYAKARTA,2018,2022,Peralatan Informasi dan Komunikasi,97.32666666666668
DI YOGYAKARTA,2020,2020,Jasa Pelayanan Makanan dan Minuman,105.88
DI YOGYAKARTA,2020,2020,Makanan,105.925
DI YOGYAKARTA,2020,2020,"Makanan, Minuman dan Tembakau",106.83916666666666
DI YOGYAKARTA,2020,2020,Minuman yang Tidak Beralkohol,107.36583333333334
DI YOGYAKARTA,2020,2020,Penyediaan Makanan dan Minuman / Restoran,105.88
DI YOGYAKARTA,2020,2020,Rokok dan Tembakau,112.50083333333332
DI YOGYAKARTA,2021,2021,Jasa Pelayanan Makanan dan Minuman,108.00416666666668
DI YOGYAKARTA,2021,2021,Makanan,107.5125
DI YOGYAKARTA,2021,2021,"Makanan, Minuman dan Tembakau",108.93583333333332
DI YOGYAKARTA,2021,2021,Minuman yang Tidak Beralkohol,109.72583333333333
DI YOGYAKARTA,2021,2021,Penyediaan Makanan dan Minuman / Restoran,108.00416666666668
DI YOGYAKARTA,2021,2021,Rokok dan Tembakau,117.79333333333332
DI YOGYAKARTA,2022,2022,Jasa Pelayanan Makanan dan Minuman,112.19
DI YOGYAKARTA,2022,2022,Makanan,115.58166666666666
DI YOGYAKARTA,2022,2022,"Makanan, Minuman dan Tembakau",116.63333333333334
DI YOGYAKARTA,2022,2022,Minuman yang Tidak Beralkohol,113.91249999999998
DI YOGYAKARTA,2022,2022,Penyediaan Makanan dan Minuman / Restoran,112.19
DI YOGYAKARTA,2022,2022,Rokok dan Tembakau,125.60416666666669
DI YOGYAKARTA,2023,2023,Asuransi,100.0
DI YOGYAKARTA,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",99.54666666666668
DI YOGYAKARTA,2023,2023,Jasa Keuangan,94.20000000000005
DI YOGYAKARTA,2023,2023,Jasa Pelayanan Makanan dan Minuman,118.06583333333332
DI YOGYAKARTA,2023,2023,Layanan Informasi dan Komunikasi,101.29666666666668
DI YOGYAKARTA,2023,2023,Makanan,122.38666666666668
DI YOGYAKARTA,2023,2023,"Makanan, Minuman dan Tembakau",124.16166666666668
DI YOGYAKARTA,2023,2023,Minuman yang Tidak Beralkohol,119.37416666666664
DI YOGYAKARTA,2023,2023,Penyediaan Makanan dan Minuman / Restoran,118.06583333333332
DI YOGYAKARTA,2023,2023,Peralatan Informasi dan Komunikasi,96.265
DI YOGYAKARTA,2023,2023,Rokok dan Tembakau,139.45416666666668
GORONTALO,2018,2020,Asuransi,100.0
GORONTALO,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",99.15833333333332
GORONTALO,2018,2020,Jasa Keuangan,100.0
GORONTALO,2018,2020,Layanan Informasi dan Komunikasi,98.82833333333332
GORONTALO,2018,2020,Peralatan Informasi dan Komunikasi,100.0925
GORONTALO,2018,2021,Asuransi,100.0
GORONTALO,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",98.635
GORONTALO,2018,2021,Jasa Keuangan,99.76166666666668
GORONTALO,2018,2021,Layanan Informasi dan Komunikasi,98.25
GORONTALO,2018,2021,Peralatan Informasi dan Komunikasi,99.6475
GORONTALO,2018,2022,Asuransi,100.0
GORONTALO,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",98.12583333333336
GORONTALO,2018,2022,Jasa Keuangan,89.37
GORONTALO,2018,2022,Layanan Informasi dan Komunikasi,98.26
GORONTALO,2018,2022,Peralatan Informasi dan Komunikasi,100.005
GORONTALO,2020,2020,Jasa Pelayanan Makanan dan Minuman,106.18583333333332
GORONTALO,2020,2020,Makanan,102.19416666666667
GORONTALO,2020,2020,"Makanan, Minuman dan Tembakau",103.84416666666668
GORONTALO,2020,2020,Minuman yang Tidak Beralkohol,104.14083333333332
GORONTALO,2020,2020,Penyediaan Makanan dan Minuman / Restoran,106.18583333333332
GORONTALO,2020,2020,Rokok dan Tembakau,113.90500000000002
GORONTALO,2021,2021,Jasa Pelayanan Makanan dan Minuman,108.30666666666669
GORONTALO,2021,2021,Makanan,108.42583333333334
GORONTALO,2021,2021,"Makanan, Minuman dan Tembakau",109.0625
GORONTALO,2021,2021,Minuman yang Tidak Beralkohol,104.97916666666664
GORONTALO,2021,2021,Penyediaan Makanan dan Minuman / Restoran,108.30666666666669
GORONTALO,2021,2021,Rokok dan Tembakau,115.695
GORONTALO,2022,2022,Jasa Pelayanan Makanan dan Minuman,112.21583333333336
GORONTALO,2022,2022,Makanan,112.02083333333336
GORONTALO,2022,2022,"Makanan, Minuman dan Tembakau",113.79666666666668
GORONTALO,2022,2022,Minuman yang Tidak Beralkohol,107.45166666666668
GORONTALO,2022,2022,Penyediaan Makanan dan Minuman / Restoran,112.21583333333336
GORONTALO,2022,2022,Rokok dan Tembakau,128.99916666666664
GORONTALO,2023,2023,Asuransi,100.0
GORONTALO,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",97.94833333333332
GORONTALO,2023,2023,Jasa Keuangan,89.37
GORONTALO,2023,2023,Jasa Pelayanan Makanan dan Minuman,117.0475
GORONTALO,2023,2023,Layanan Informasi dan Komunikasi,98.34
GORONTALO,2023,2023,Makanan,115.73416666666668
GORONTALO,2023,2023,"Makanan, Minuman dan Tembakau",118.38833333333336
GORONTALO,2023,2023,Minuman yang Tidak Beralkohol,108.99083333333336
GORONTALO,2023,2023,Penyediaan Makanan dan Minuman / Restoran,117.0475
GORONTALO,2023,2023,Peralatan Informasi dan Komunikasi,98.73333333333336
GORONTALO,2023,2023,Rokok dan Tembakau,141.04083333333335
JAMBI,2018,2020,Asuransi,101.07833333333332
JAMBI,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",101.34416666666667
JAMBI,2018,2020,Jasa Keuangan,99.745
JAMBI,2018,2020,Layanan Informasi dan Komunikasi,102.63874999999999
JAMBI,2018,2020,Peralatan Informasi dan Komunikasi,98.51041666666666
JAMBI,2018,2021,Asuransi,102.155
JAMBI,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",102.2575
JAMBI,2018,2021,Jasa Keuangan,99.49000000000001
JAMBI,2018,2021,Layanan Informasi dan Komunikasi,103.46333333333331
JAMBI,2018,2021,Peralatan Informasi dan Komunikasi,100.11875
JAMBI,2018,2022,Asuransi,102.155
JAMBI,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",101.61625
JAMBI,2018,2022,Jasa Keuangan,88.39999999999999
JAMBI,2018,2022,Layanan Informasi dan Komunikasi,103.59874999999998
JAMBI,2018,2022,Peralatan Informasi dan Komunikasi,100.41666666666667
JAMBI,2020,2020,Jasa Pelayanan Makanan dan Minuman,104.67041666666668
JAMBI,2020,2020,Makanan,102.24666666666667
JAMBI,2020,2020,"Makanan, Minuman dan Tembakau",103.70583333333333
JAMBI,2020,2020,Minuman yang Tidak Beralkohol,101.83500000000001
JAMBI,2020,2020,Penyediaan Makanan dan Minuman / Restoran,104.67041666666668
