province,commodity,area,value
Papua barat daya,Bumbu-bumbuan/Spices,rural,17669.0
Papua barat daya,Konsumsi lainnya,rural,12525.0
Papua barat daya,Makanan dan minuman jadi,rural,174946.0
Papua barat daya,Rokok/Cigarettes,rural,119855.0
Papua barat daya,Jumlah makanan/Total food,rural,800555.0
Papua barat daya,Perumahan dan fasilitas rumah tangga,rural,429515.0
Papua barat daya,Aneka barang dan jasa,rural,164117.0
Papua barat daya,Pakaian alas kaki dan tutup kepala,rural,27728.0
Papua barat daya,Barang tahan lama,rural,25783.0
Papua barat daya,Pajak pungutan dan asuransi,rural,57498.0
Papua barat daya,Keperluan pesta,rural,28286.0
Papua barat daya,Jumlah bukan makanan/Total non-food,rural,732928.0
Papua barat daya,Jumlah/Total,rural,1533483.0
Papua barat daya,Padi-padian/Cereals,total,86781.0
Papua barat daya,Umbi-umbian/Tubers,total,26939.0
Papua barat daya,Ikan/udang/cumi/kerang,total,9747.0
Papua barat daya,Daging/Meat,total,37015.0
Papua barat daya,Telur dan susu/Eggs and milk,total,41498.0
Papua barat daya,Sayur-sayuran/Vegetables,total,81843.0
Papua barat daya,Kacang-kacangan/Legumes,total,13235.0
Papua barat daya,Buah-buahan/Fruits,total,37616.0
Papua barat daya,Minyak dan kelapa/Oil and coconut,total,22804.0
Papua barat daya,Bahan minuman/Beverages stuffs,total,23766.0
Papua barat daya,Bumbu-bumbuan/Spices,total,20678.0
Papua barat daya,Konsumsi lainnya,total,12825.0
Papua barat daya,Makanan dan minuman jadi,total,206519.0
Papua barat daya,Rokok/Cigarettes,total,101874.0
Papua barat daya,Jumlah makanan/Total food,total,810863.0
Papua barat daya,Perumahan dan fasilitas rumah tangga,total,503038.0
Papua barat daya,Aneka barang dan jasa,total,187154.0
Papua barat daya,Pakaian alas kaki dan tutup kepala,total,28556.0
Papua barat daya,Barang tahan lama,total,32159.0
Papua barat daya,Pajak pungutan dan asuransi,total,57753.0
Papua barat daya,Keperluan pesta,total,23208.0
Papua barat daya,Jumlah bukan makanan/Total non-food,total,831867.0
Papua barat daya,Jumlah/Total,total,164273.0
Papua pegunungan,Padi-padian/Cereals,urban,151881.0
Papua pegunungan,Umbi-umbian/Tubers,urban,127524.0
Papua pegunungan,Ikan/udang/cumi/kerang,urban,174873.0
Papua pegunungan,Daging/Meat,urban,108635.0
